interpro_acc	interpro_desc	hit_rows	unique_proteins
IPR050844	Coatomer complex subunit	4	4
IPR050910	JMJD6 family arginine demethylases/lysyl-hydroxylases	4	4
IPR050928	ATP-dependent Zinc Metalloprotease	4	4
IPR050935	Bromodomain-containing chromatin reader	4	4
IPR050957	BMP Lipoprotein	4	4
IPR050995	WD repeat and F-box domain-containing protein	4	4
IPR050997	Membrane-associated proteins in eicosanoid and glutathione metabolism	4	4
IPR051044	Monoacylglycerol and Diacylglycerol Lipase	4	4
IPR051085	Membrane-bound O-acyltransferase	4	4
IPR051147	Cilia- and flagella-associated domain-containing protein	4	4
IPR051177	Catalytically Inactive Kinase-Related Protein	4	4
IPR051207	Mitochondrial Complex I NDUFA9 Subunit	4	4
IPR051213	START domain-containing lipid transfer	4	4
IPR051339	DnaJ homolog subfamily B	4	4
IPR051363	RIG-I-like Receptor (RLR) Helicase	4	4
IPR051394	Glutamate Synthase	4	4
IPR051397	Zinc-containing alcohol dehydrogenase-like protein	4	4
IPR051421	RNA Processing and DNA Damage Response Regulator	4	4
IPR051486	Homocysteine S-methyltransferase	4	4
IPR051508	Mitochondrial Carrier Antiporter	4	4
IPR051608	Ribosome Quality Control Complex Subunit NEMF	4	4
IPR051617	UNC-93-like transmembrane regulator	4	4
IPR051701	Mitochondrial Outer Membrane Translocase MSP1 Subfamily	4	4
IPR051825	SRC Kinase Signaling Inhibitor	4	4
IPR051885	Coiled-coil domain-containing protein involved in ciliogenesis	4	4
IPR051908	Ribosomal-protein N-acetyltransferase	4	4
IPR051945	RRM MRD1 RNA Processing and Ribosome Biogenesis	4	4
IPR051956	eIF2B Complex Subunit Epsilon	4	4
IPR051987	Sigma-2 receptor-like	4	4
IPR052066	Glycosphingolipid Hydrolyzing Enzymes	4	4
IPR052072	Vascular development regulator domain-containing protein	4	4
IPR052111	Spermatogenesis and Ciliary Microtubule-associated Protein	4	4
IPR052217	Mitochondrial and Peroxisomal Carrier Protein	4	4
IPR052414	U3 small nucleolar RNA-associated WD repeat-containing protein	4	4
IPR052575	Small subunit processome component 20	4	4
IPR052582	tRNA-dihydrouridine synthase-like	4	4
IPR052725	Glutamine Synthetase Type-3	4	4
IPR052811	Glucose-responsive signaling protein	4	4
IPR052898	Acyl-CoA dehydrogenase 10-like	4	4
IPR053026	CDC42 guanine nucleotide exchange factor	4	4
IPR053216	Appressorial penetration-associated	4	4
IPR053374	TCP-1 chaperonin-containing T-complex	4	4
IPR053826	WD repeat-containing protein 75	4	4
IPR053937	GOST, seven transmembrane domain	4	4
IPR053958	HMGCR/SNAP/NPC1-like, sterol-sensing domain	4	4
IPR054497	Lytic polysaccharide monooxygenase AA14	4	4
IPR054542	Cys/Met metabolism enzyme, pyridoxal-phosphate attachment site	4	4
IPR054549	Protein root UVB sensitive/RUS domain	4	4
IPR054585	External alternative NADH-ubiquinone oxidoreductase-like, C-terminal domain	4	4
IPR055190	ATP synthase A/B type, C-terminal domain	4	4
IPR056149	ATP-dependent RNA helicase PRP5/DDX46/KHDC4, KH domain	4	4
IPR056150	CDC20/Fizzy, WD40 domain	4	4
IPR056290	CEP76/DRC7, peptidase-like domain	4	4
IPR056685	Domain of unknown function DUF7783	4	4
IPR057246	Zinc carboxypeptidases, zinc-binding region 1	4	4
IPR057985	26S proteasome non-ATPase regulatory subunit 3, N-terminal TPR repeats	4	4
IPR058935	At4g15545-like, C-terminal domain	4	4
IPR058936	At4g15545-like	4	4
IPR059122	WDR5-like, beta-propeller domain	4	4
IPR000704	Casein kinase II, regulatory subunit	25	3
IPR002119	Histone H2A	24	3
IPR017861	Kae1/TsaD family	21	3
IPR001576	Phosphoglycerate kinase	20	3
IPR000558	Histone H2B	19	3
IPR001392	Clathrin adaptor, mu subunit	19	3
IPR002222	Small ribosomal subunit protein uS19	19	3
IPR006626	Parallel beta-helix repeat	19	3
IPR004018	RPEL repeat	18	3
IPR000009	Protein phosphatase 2A regulatory subunit PR55	16	3
IPR002318	Alanine-tRNA ligase, class IIc	15	3
IPR005485	Large ribosomal subunit protein uL18, eukaryota/archaea	15	3
IPR000711	ATPase, OSCP/delta subunit	14	3
IPR001154	DNA topoisomerase II, eukaryotic-type	13	3
IPR001564	Nucleoside diphosphate kinase	13	3
IPR001736	Phospholipase D/Transphosphatidylase	13	3
IPR001842	Peptidase M36, fungalysin	13	3
IPR006046	Alpha amylase	13	3
IPR000218	Large ribosomal subunit protein uL14	12	3
IPR000511	Holocytochrome c/c1 synthase	12	3
IPR002016	Haem peroxidase	12	3
IPR002415	H/ACA ribonucleoprotein complex, subunit Nhp2-like	12	3
IPR000911	Ribosomal protein uL11	11	3
IPR001971	Small ribosomal subunit protein uS11	11	3
IPR010736	Sperm-tail PG-rich repeat	11	3
IPR000043	Adenosylhomocysteinase-like	10	3
IPR000582	Acyl-CoA-binding protein, ACBP	10	3
IPR000941	Enolase	10	3
IPR001441	Decaprenyl diphosphate synthase-like	10	3
IPR001714	Peptidase M24, methionine aminopeptidase	10	3
IPR002301	Isoleucine-tRNA ligase	10	3
IPR005822	Large ribosomal subunit protein uL13	10	3
IPR008220	Homoserine/serine acetyltransferase MetX-like	10	3
IPR020575	Heat shock protein Hsp90, N-terminal	10	3
IPR000058	Zinc finger, AN1-type	9	3
IPR000697	WH1/EVH1 domain	9	3
IPR000898	Indoleamine 2,3-dioxygenase	9	3
IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm	9	3
IPR001977	Dephospho-CoA kinase	9	3
IPR002207	Class I peroxidase	9	3
IPR002769	Translation initiation factor IF6	9	3
IPR003128	Villin headpiece	9	3
IPR003349	JmjN domain	9	3
IPR003891	Initiation factor eIF-4 gamma, MA3	9	3
IPR004808	AP endonuclease 1	9	3
IPR008146	Glutamine synthetase, catalytic domain	9	3
IPR013283	RLI1	9	3
IPR024909	Cysteinyl-tRNA synthetase/mycothiol ligase	9	3
IPR000591	DEP domain	8	3
IPR001085	Serine hydroxymethyltransferase	8	3
IPR001372	Dynein light chain, type 1/2	8	3
IPR001388	Synaptobrevin-like	8	3
IPR003100	PAZ domain	8	3
IPR003431	3 pythase, beta-propeller	8	3
IPR003663	Sugar/inositol transporter	8	3
IPR005016	Serine incorporator/TMS membrane protein	8	3
IPR010111	Kynureninase	8	3
IPR037196	HSP90, C-terminal domain	8	3
IPR001852	Pyridoxal 5'-phosphate synthase subunit PdxS/SNZ	7	3
IPR001950	SUI1 domain	7	3
IPR003018	GAF domain	7	3
IPR004294	Carotenoid oxygenase	7	3
IPR005599	GPI mannosyltransferase	7	3
IPR005824	KOW	7	3
IPR006171	TOPRIM domain	7	3
IPR006630	La-type HTH domain	7	3
IPR007233	Trafficking protein particle complex subunit	7	3
IPR008547	Protein of unknown function DUF829, TMEM53	7	3
IPR010613	Pescadillo	7	3
IPR018998	EndoU ribonuclease, C-terminal	7	3
IPR024567	Ribonuclease HII/HIII domain	7	3
IPR037238	YbiA-like superfamily	7	3
IPR000146	Fructose-1,6-bisphosphatase class 1	6	3
IPR000331	Rap/Ran-GAP domain	6	3
IPR000506	Ketol-acid reductoisomerase, C-terminal	6	3
IPR000754	Small ribosomal subunit protein uS9	6	3
IPR001040	Translation Initiation factor eIF- 4e	6	3
IPR001206	Diacylglycerol kinase, catalytic domain	6	3
IPR001585	Transaldolase/Fructose-6-phosphate aldolase	6	3
IPR001830	Glycosyl transferase, family 20	6	3
IPR002480	DAHP synthetase, class II	6	3
IPR002490	V-type ATPase, V0 complex, 116kDa subunit family	6	3
IPR002547	tRNA-binding domain	6	3
IPR002735	Translation initiation factor IF2/IF5 domain	6	3
IPR002809	Integral membrane protein EMC3/TMCO1-like	6	3
IPR003130	Dynamin GTPase effector	6	3
IPR003338	CDC48, N-terminal subdomain	6	3
IPR003778	Carboxyltransferase domain, subdomain A and B	6	3
IPR003892	Ubiquitin system component CUE	6	3
IPR003965	Fatty acid synthase	6	3
IPR004551	Diphthine synthase	6	3
IPR004598	Transcription factor TFIIH subunit p52/Tfb2	6	3
IPR005956	4-hydroxyphenylpyruvate dioxygenase	6	3
IPR006050	DNA photolyase, N-terminal	6	3
IPR006762	Gtr1/RagA G protein	6	3
IPR006855	Vertebrate-like NAGS Gcn5-related N-acetyltransferase (GNAT) domain	6	3
IPR007271	Nucleotide-sugar transporter	6	3
IPR007667	Hypoxia induced protein, domain	6	3
IPR007719	Phytochelatin synthase, N-terminal catalytic domain	6	3
IPR007872	DPH-type metal-binding domain	6	3
IPR008162	Inorganic pyrophosphatase	6	3
IPR008631	Glycogen synthase	6	3
IPR009088	Transcription factor IIA, beta-barrel	6	3
IPR009311	Interferon alpha-inducible protein IFI6/IFI27-like	6	3
IPR010329	3-hydroxyanthranilic acid dioxygenase	6	3
IPR012919	SUN domain	6	3
IPR013029	YchF, C-terminal domain	6	3
IPR013116	Ketol-acid reductoisomerase, N-terminal	6	3
IPR013809	ENTH domain	6	3
IPR013848	Methylthiotransferase, N-terminal	6	3
IPR014790	MutL, C-terminal, dimerisation	6	3
IPR016156	FAD/NAD-linked reductase, dimerisation domain superfamily	6	3
IPR019363	Lipid droplet-associated hydrolase	6	3
IPR019438	Queuosine salvage protein family	6	3
IPR022057	Chitin synthase export chaperone	6	3
IPR022803	Large ribosomal subunit protein uL5 domain superfamily	6	3
IPR022816	Condensin complex subunit 2/barren	6	3
IPR023575	Small ribosomal subunit protein uS19, superfamily	6	3
IPR024049	eRF1, domain 1	6	3
IPR024054	Translation initiation factor 2, alpha subunit, middle domain superfamily	6	3
IPR024072	Dihydrofolate reductase-like domain superfamily	6	3
IPR024610	Inhibitor of growth protein, N-terminal histone-binding	6	3
IPR027012	Enkurin domain	6	3
IPR029001	Inosine triphosphate pyrophosphatase-like	6	3
IPR029014	[NiFe]-hydrogenase, large subunit	6	3
IPR029018	Beta-hexosaminidase-like, domain 2	6	3
IPR029066	PLP-binding barrel	6	3
IPR030393	EngB-type guanine nucleotide-binding (G) domain	6	3
IPR032801	Peroxiredoxin-like 2A/B/C	6	3
IPR035896	AN1-like Zinc finger	6	3
IPR035974	Rap/Ran-GAP superfamily	6	3
IPR036144	GTP cyclohydrolase II superfamily	6	3
IPR036394	Ribosomal protein uL22 superfamily	6	3
IPR036416	Peptidyl-tRNA hydrolase superfamily	6	3
IPR036424	Decaprenyl diphosphate synthase-like superfamily	6	3
IPR036451	Cobalamin adenosyltransferase-like superfamily	6	3
IPR036565	Mur-like, catalytic domain superfamily	6	3
IPR036646	BPG-independent phosphoglycerate mutase, domain B superfamily	6	3
IPR036649	Inorganic pyrophosphatase superfamily	6	3
IPR036663	Fumarylacetoacetase-like, C-terminal domain superfamily	6	3
IPR036671	DPH-type metal-binding domain superfamily	6	3
IPR036736	ACP-like superfamily	6	3
IPR036769	Large ribosomal subunit protein uL11, C-terminal domain superfamily	6	3
IPR036771	F0F1 ATP synthase delta/epsilon subunit, N-terminal	6	3
IPR036784	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily	6	3
IPR036796	Large ribosomal subunit protein uL11, N-terminal domain superfamily	6	3
IPR036823	Small ribosomal subunit protein uS7 domain superfamily	6	3
IPR036853	Large ribosomal subunit protein uL14 superfamily	6	3
IPR036882	Alba-like domain superfamily	6	3
IPR036886	Villin headpiece domain superfamily	6	3
IPR036899	Large ribosomal subunit protein uL13 superfamily	6	3
IPR037010	Vitamin B12-dependent methionine synthase, activation domain superfamily	6	3
IPR037177	Dynein light chain superfamily	6	3
IPR037525	Velvet domain	6	3
IPR044076	Large ribosomal subunit protein P2, eukaryota	6	3
IPR045121	Coenzyme A pyrophosphatase	6	3
IPR055129	YEATS domain	6	3
IPR001312	Hexokinase	5	3
IPR002634	BolA protein	5	3
IPR002773	Deoxyhypusine synthase	5	3
IPR003618	Transcription elongation factor S-II, central domain	5	3
IPR003781	CoA-binding	5	3
IPR003838	ABC3 transporter permease, C-terminal	5	3
IPR004001	Actin, conserved site	5	3
IPR004223	Vitamin B12-dependent methionine synthase, activation domain	5	3
IPR004240	Nonaspanin (TM9SF)	5	3
IPR005334	Dynein light chain Tctex-1 like	5	3
IPR005677	Fumarate hydratase, class II	5	3
IPR005844	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I	5	3
IPR006708	Pex19 protein	5	3
IPR006802	Radial spokehead-like protein	5	3
IPR006994	TCF25/Rqc1	5	3
IPR007587	SIT4 phosphatase-associated protein family	5	3
IPR007698	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain	5	3
IPR008429	Cleft lip and palate transmembrane 1	5	3
IPR008509	Molybdate-anion transporter	5	3
IPR009023	Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily	5	3
IPR013719	Histone chaperone RTT106/FACT complex subunit SPT16-like, middle domain	5	3
IPR013878	Mo25-like	5	3
IPR015824	Phosphoglycerate kinase, N-terminal	5	3
IPR016267	UTP--glucose-1-phosphate uridylyltransferase	5	3
IPR018240	Clathrin adaptor, mu subunit, conserved site	5	3
IPR019974	XPG conserved site	5	3
IPR020581	Glycine cleavage system P protein	5	3
IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	5	3
IPR021983	PRP8 domain IV core	5	3
IPR022666	Large ribosomal subunit protein uL2, RNA-binding domain	5	3
IPR022709	Protein SCAI	5	3
IPR022790	Glycosyl hydrolase family 26 domain	5	3
IPR023271	Aquaporin-like	5	3
IPR024461	Coiled-coil domain-containing protein 90-like	5	3
IPR025239	Domain of unknown function DUF4187	5	3
IPR026258	Signal recognition particle subunit SRP68	5	3
IPR027815	CSC1/OSCA1-like, cytosolic domain	5	3
IPR036867	R3H domain superfamily	5	3
IPR037191	VPS9 domain superfamily	5	3
IPR037217	Tryptophan/Indoleamine 2,3-dioxygenase-like	5	3
IPR041872	Methionyl-tRNA synthetase, anticodon-binding domain	5	3
IPR045216	Casein Kinase 2, subunit alpha	5	3
IPR047109	Cinnamyl alcohol dehydrogenase-like	5	3
IPR047544	E3 ubiquitin-protein ligase RNF216, RING finger, HC subclass	5	3
IPR053951	K+ potassium transporter, integral membrane domain	5	3
IPR056168	IF140/IFT172/WDR19, TPR domain	5	3
IPR059116	ATP P2X receptor-like	5	3
IPR000235	Small ribosomal subunit protein uS7	4	3
IPR001063	Large ribosomal subunit protein uL22	4	3
IPR001328	Peptidyl-tRNA hydrolase	4	3
IPR004206	mRNA triphosphatase Cet1-like	4	3
IPR004493	Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic	4	3
IPR005052	Legume-like lectin	4	3
IPR005339	GINS complex, subunit Psf1	4	3
IPR005959	Fumarylacetoacetase	4	3
IPR007034	Ribosome biogenesis protein BMS1/TSR1, C-terminal	4	3
IPR007234	Vps53, N-terminal	4	3
IPR009061	Putative DNA-binding domain superfamily	4	3
IPR010334	mRNA-decapping enzyme subunit 1	4	3
IPR010979	Small ribosomal subunit protein uS13-like, H2TH	4	3
IPR013500	DNA topoisomerase I, catalytic core, eukaryotic-type	4	3
IPR013907	Sds3-like	4	3
IPR014430	Sterol desaturase Scs7	4	3
IPR015892	Carbonic anhydrase, prokaryotic-like, conserved site	4	3
IPR016151	DNA mismatch repair protein MutS, N-terminal	4	3
IPR016300	Arsenical pump ATPase, ArsA/GET3	4	3
IPR018222	Nuclear transport factor 2, eukaryote	4	3
IPR021183	N-terminal acetyltransferase A, auxiliary subunit	4	3
IPR024372	Proteasome component Ecm29, N-terminal	4	3
IPR026113	tRNA N(3)-methylcytidine methyltransferase METTL2/6/8-like	4	3
IPR031693	Sin3, C-terminal	4	3
IPR035968	ATP synthase, F1 complex, gamma subunit superfamily	4	3
IPR036043	Phosphoglycerate kinase superfamily	4	3
IPR036065	BolA-like superfamily	4	3
IPR036877	SUI1 domain superfamily	4	3
IPR036898	RNA polymerase Rpb7-like, N-terminal domain superfamily	4	3
IPR041616	Phenylalanyl tRNA synthetase beta chain, core domain	4	3
IPR043133	GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase	4	3
IPR046792	Peptidase C54, catalytic domain	4	3
IPR055410	CAF1B/HIR1, beta-propeller domain	4	3
IPR000101	Gamma-glutamyltranspeptidase	3	3
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	3	3
IPR000581	Dihydroxy-acid/6-phosphogluconate dehydratase, N-terminal	3	3
IPR000597	Large ribosomal subunit protein uL3	3	3
IPR000687	RIO kinase	3	3
IPR000722	RNA polymerase, alpha subunit	3	3
IPR000851	Small ribosomal subunit protein uS5	3	3
IPR000903	Glycylpeptide N-tetradecanoyltransferase	3	3
IPR001104	3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	3	3
IPR001252	Malate dehydrogenase, active site	3	3
IPR001342	Homoserine dehydrogenase, catalytic	3	3
IPR001352	Ribonuclease HII/HIII	3	3
IPR001537	tRNA/rRNA methyltransferase, SpoU type	3	3
IPR001597	Aromatic amino acid beta-eliminating lyase/threonine aldolase	3	3
IPR001645	Folylpolyglutamate synthetase	3	3
IPR001837	Adenylate cyclase-associated CAP	3	3
IPR001905	Ammonium transporter	3	3
IPR002015	Proteasome/cyclosome repeat	3	3
IPR002075	Nuclear transport factor 2 domain	3	3
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	3	3
IPR002328	Alcohol dehydrogenase, zinc-type, conserved site	3	3
IPR002364	Quinone oxidoreductase/zeta-crystallin, conserved site	3	3
IPR002471	Peptidase S9, serine active site	3	3
IPR002495	Glycosyl transferase, family 8	3	3
IPR002501	Pseudouridine synthase II, N-terminal	3	3
IPR002861	Reeler domain	3	3
IPR003140	Phospholipase/carboxylesterase/thioesterase	3	3
IPR003495	CobW/HypB/UreG, nucleotide-binding domain	3	3
IPR003527	Mitogen-activated protein (MAP) kinase, conserved site	3	3
IPR003603	U2A'/phosphoprotein 32 family A, C-terminal	3	3
IPR003780	COX15/CtaA family	3	3
IPR003855	Potassium transporter	3	3
IPR003929	Calcium-activated potassium channel BK, alpha subunit	3	3
IPR004036	Endonuclease III-like, conserved site-2	3	3
IPR004521	Uncharacterised domain CHP00451	3	3
IPR004568	Phosphopantetheine-protein transferase domain	3	3
IPR004712	Na+/H+ antiporter, fungi	3	3
IPR004721	Dihydroorotase homodimeric type	3	3
IPR004854	Ubiquitin fusion degradation protein Ufd1-like	3	3
IPR005013	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit	3	3
IPR005033	YEATS	3	3
IPR005062	SAC3/GANP/THP3, conserved domain	3	3
IPR005078	Peptidase C54	3	3
IPR005142	eRF1 domain 3	3	3
IPR005336	Mitochondrial pyruvate carrier	3	3
IPR005574	RNA polymerase subunit Rpb4/RPC9	3	3
IPR005788	Protein disulfide-isomerase, thioredoxin-like domain	3	3
IPR006059	Bacterial-type extracellular solute-binding protein	3	3
IPR006108	3-hydroxyacyl-CoA dehydrogenase, C-terminal	3	3
IPR006115	6-phosphogluconate dehydrogenase, NADP-binding	3	3
IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	3	3
IPR006176	3-hydroxyacyl-CoA dehydrogenase, NAD binding	3	3
IPR006189	CHASE domain	3	3
IPR006224	Pseudouridine synthase, RluA-like, conserved site	3	3
IPR006259	Adenylate kinase subfamily	3	3
IPR006262	Cytidine deaminase, homotetrameric	3	3
IPR006592	RNA polymerase, N-terminal	3	3
IPR006598	Glycosyl transferase CAP10 domain	3	3
IPR006639	Presenilin/signal peptide peptidase	3	3
IPR006680	Amidohydrolase-related	3	3
IPR006683	Thioesterase domain	3	3
IPR006769	Calcium uniporter protein, C-terminal	3	3
IPR006968	Root UVB sensitive family	3	3
IPR007042	SERRATE/Ars2 , C-terminal	3	3
IPR007066	RNA polymerase Rpb1, domain 3	3	3
IPR007075	RNA polymerase Rpb1, domain 6	3	3
IPR007080	RNA polymerase Rpb1, domain 1	3	3
IPR007121	RNA polymerase, beta subunit, conserved site	3	3
IPR007209	RNase L inhibitor RLI-like, possible metal-binding domain	3	3
IPR007305	Vesicle transport protein, Got1/SFT2-like	3	3
IPR007310	Aerobactin siderophore biosynthesis, IucA/IucC, N-terminal	3	3
IPR007645	RNA polymerase Rpb2, domain 3	3	3
IPR007651	Lipin, N-terminal	3	3
IPR007852	Cdc73/Parafibromin	3	3
IPR007862	Adenylate kinase, active site lid domain	3	3
IPR008040	Hydantoinase/oxoprolinase, N-terminal	3	3
IPR008147	Glutamine synthetase, N-terminal domain	3	3
IPR008688	ATP synthase, F0 complex, subunit B/MI25	3	3
IPR008778	Pirin, C-terminal domain	3	3
IPR008926	Ribonucleotide reductase R1 subunit, N-terminal	3	3
IPR009010	Aspartate decarboxylase-like domain superfamily	3	3
IPR009022	Elongation factor G, domain III	3	3
IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain	3	3
IPR009030	Growth factor receptor cysteine-rich domain superfamily	3	3
IPR009051	Alpha-helical ferredoxin	3	3
IPR009068	uS15/NS1, RNA-binding domain superfamily	3	3
IPR009097	Cyclic phosphodiesterase	3	3
IPR009637	Transmembrane protein GPR107/GPR108-like	3	3
IPR010140	Histidinol phosphate phosphatase, HisJ	3	3
IPR010497	Epoxide hydrolase, N-terminal	3	3
IPR010610	Erythromycin biosynthesis protein CIII-like, C-terminal domain	3	3
IPR010643	Helical and beta-bridge domain	3	3
IPR010978	Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm	3	3
IPR011039	Transcription Factor IIF, Rap30/Rap74, interaction	3	3
IPR011063	tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal	3	3
IPR011096	FTP domain	3	3
IPR011147	Bifunctional aspartokinase/homoserine dehydrogenase, homoserine dehydrogenase domain	3	3
IPR011258	BPG-independent PGAM, N-terminal	3	3
IPR011320	Ribonuclease H1, N-terminal	3	3
IPR011331	Large ribosomal subunit protein eL37/eL43	3	3
IPR011555	V-ATPase proteolipid subunit C, eukaryotic	3	3
IPR011691	Vesicle transport protein SFT2	3	3
IPR011710	Coatomer beta subunit, C-terminal	3	3
IPR012308	DNA ligase, ATP-dependent, N-terminal	3	3
IPR012972	NLE	3	3
IPR012973	NOG, C-terminal	3	3
IPR013108	Amidohydrolase 3	3	3
IPR013632	Rad51-like, C-terminal	3	3
IPR013713	Exportin-2, central domain	3	3
IPR013860	Nitrogen regulatory protein areA, GATA-like domain	3	3
IPR013918	Nucleotide exchange factor Fes1	3	3
IPR014762	DNA mismatch repair, conserved site	3	3
IPR014772	Mammalian uncoordinated homology 13, domain 2	3	3
IPR014776	Tetrapyrrole methylase, subdomain 2	3	3
IPR015403	Mon2/Sec7/BIG1-like, HDS	3	3
IPR015517	Deoxycytidylate deaminase-related	3	3
IPR015760	Translation initiation factor IF- 2	3	3
IPR015866	Serine-tRNA synthetase, type1, N-terminal	3	3
IPR015883	Glycoside hydrolase family 20, catalytic domain	3	3
IPR015894	Guanylate-binding protein, N-terminal	3	3
IPR015932	Aconitase, domain 2	3	3
IPR016066	Alpha-D-phosphohexomutase, conserved site	3	3
IPR016149	Casein kinase II, regulatory subunit, N-terminal	3	3
IPR016157	Cullin, conserved site	3	3
IPR016292	Epoxide hydrolase	3	3
IPR016439	Sphingosine N-acyltransferase Lag1/Lac1-like	3	3
IPR016471	Nicotinamide phosphoribosyl transferase	3	3
IPR017440	ATP-citrate lyase/succinyl-CoA ligase, active site	3	3
IPR017866	Succinyl-CoA synthetase, beta subunit, conserved site	3	3
IPR017901	C-CAP/cofactor C-like domain	3	3
IPR017945	DHBP synthase RibB-like alpha/beta domain superfamily	3	3
IPR017961	DNA polymerase, Y-family, little finger domain	3	3
IPR017969	Heavy-metal-associated, conserved site	3	3
IPR018171	Peptidyl-tRNA hydrolase, conserved site	3	3
IPR018371	Chitin-binding, type 1, conserved site	3	3
IPR018422	Cation/H+ exchanger, CPA1 family	3	3
IPR018491	SLC12A transporter, C-terminal	3	3
IPR018564	DNA replication checkpoint mediator, MRC1 domain	3	3
IPR018850	Mitochondrial escape protein 2, C-terminal	3	3
IPR018955	Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal	3	3
IPR019318	Guanine nucleotide exchange factor, Ric8	3	3
IPR019474	Ubiquitin conjugation factor E4, core	3	3
IPR019479	Peroxiredoxin, C-terminal	3	3
IPR019564	Mitochondrial outer membrane transport complex Sam37/metaxin, N-terminal domain	3	3
IPR019601	Oxoglutarate/iron-dependent oxygenase, C-terminal degradation domain	3	3
IPR019794	Peroxidase, active site	3	3
IPR019798	Serine hydroxymethyltransferase, pyridoxal phosphate binding site	3	3
IPR019810	Citrate synthase active site	3	3
IPR019954	Ubiquitin conserved site	3	3
IPR019972	Large ribosomal subunit protein uL14, conserved site	3	3
IPR020056	Large ribosomal subunit protein bL25/Gln-tRNA synthetase, N-terminal	3	3
IPR020059	Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain	3	3
IPR020546	ATP synthase, F1 complex, delta/epsilon subunit, N-terminal	3	3
IPR020556	Amidase, conserved site	3	3
IPR020557	Fumarate lyase, conserved site	3	3
IPR020558	Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site	3	3
IPR020574	Small ribosomal subunit protein uS9, conserved site	3	3
IPR020590	Guanylate kinase, conserved site	3	3
IPR020610	Thiolase, active site	3	3
IPR020630	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	3	3
IPR020783	Large ribosomal subunit protein uL11, C-terminal	3	3
IPR020784	Large ribosomal subunit protein uL11, N-terminal	3	3
IPR020830	Glyceraldehyde 3-phosphate dehydrogenase, active site	3	3
IPR020841	Polyketide synthase, beta-ketoacyl synthase domain	3	3
IPR020850	GTPase effector domain	3	3
IPR020934	Small ribosomal subunit protein uS19, conserved site	3	3
IPR022309	Ribosomal protein eS8/ribosomal biogenesis NSA2	3	3
IPR022310	NAD/GMP synthase	3	3
IPR022408	Acyl-CoA-binding protein, ACBP, conserved site	3	3
IPR022673	Hexokinase, C-terminal	3	3
IPR022674	Glucose-6-phosphate dehydrogenase, NAD-binding	3	3
IPR022677	Glycylpeptide N-tetradecanoyltransferase, C-terminal	3	3
IPR022694	3-hydroxyacyl-CoA dehydrogenase	3	3
IPR022755	Zinc finger, double-stranded RNA binding	3	3
IPR022770	Aerobactin siderophore biosynthesis IucA/IucC-like, C-terminal	3	3
IPR022801	Small ribosomal subunit protein uS4	3	3
IPR022905	DNA-directed RNA polymerase subunit Rpo11-like	3	3
IPR023005	Nucleoside diphosphate kinase, active site	3	3
IPR023168	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C-terminal, domain 2	3	3
IPR023170	Helix-hairpin-helix, base-excision DNA repair, C-terminal	3	3
IPR023192	TGS-like domain superfamily	3	3
IPR023318	Ubiquitin activating enzyme, alpha domain superfamily	3	3
IPR023346	Lysozyme-like domain superfamily	3	3
IPR023754	Heme A synthase, type 2	3	3
IPR023798	Small ribosomal subunit protein uS7 domain	3	3
IPR024095	Vesicle tethering protein p115	3	3
IPR024253	Phosducin, thioredoxin-like domain	3	3
IPR024528	Threonine/Serine exporter, ThrE	3	3
IPR025662	Sigma-54 interaction domain, ATP-binding site 1	3	3
IPR025721	Exosome complex component, N-terminal domain	3	3
IPR025723	ArsA/GET3, Anion-transporting ATPase-like domain	3	3
IPR025834	Topoisomerase I C-terminal domain	3	3
IPR025887	Glycoside hydrolase family 31, N-terminal domain	3	3
IPR026054	Nuclear pore complex protein	3	3
IPR026505	Solute carrier family 35 member F3/F4	3	3
IPR026699	Exosome complex RNA-binding protein 1/RRP40/RRP4	3	3
IPR026822	Spp2/MOS2, G-patch domain	3	3
IPR026825	Vacuole morphology and inheritance protein 14	3	3
IPR026992	Non-haem dioxygenase, N-terminal domain	3	3
